incident_id,customer_id,customer_name,email,phone,category,status,satisfaction_score,created_at
INC-0001,CUST-0001,Carlos Ruiz,customer1@example.com,+57 300 1000001,billing,discarded,,2026-01-02
INC-0002,CUST-0002,Sofia Lopez,customer2@example.com,+57 300 1000002,technical,open,,2026-01-03
INC-0003,CUST-0003,Maria Torres,customer3@example.com,+57 300 1000003,billing,discarded,,2026-01-04
INC-0004,CUST-0004,Valentina Ortiz,customer4@example.com,+57 300 1000004,billing,discarded,,2026-01-05
INC-0005,CUST-0005,Camila Rios,,+57 300 1000005,billing,open,,2026-01-06
INC-0006,CUST-0006,Carlos Ruiz,customer6@example.com,+57 300 1000006,technical,open,,2026-01-07
INC-0007,CUST-0007,Valentina Ortiz,customer7@example.com,+57 300 1000007,other,open,,2026-01-08
INC-0008,CUST-0008,Valentina Ortiz,customer8@example.com,+57 300 1000008,technical,discarded,,2026-01-09
INC-0009,CUST-0009,Valentina Ortiz,customer9@example.com,+57 300 1000009,product,open,,2026-01-10
INC-0010,CUST-0010,Diego Marin,customer10@example.com,+57 300 1000010,other,closed,,2026-01-11
INC-0011,CUST-0011,Laura Gomez,customer11@example.com,+57 300 1000011,technical,discarded,,2026-01-12
INC-0012,CUST-0012,Camila Rios,customer12@example.com,+57 300 1000012,shipping,closed,3,2026-01-13
INC-0013,CUST-0013,Carlos Ruiz,customer13@example.com,+57 300 1000013,billing,closed,3,2026-01-14
INC-0014,CUST-0014,Felipe Cano,customer14@example.com,+57 300 1000014,shipping,open,,2026-01-15
INC-0015,CUST-0015,Diego Marin,customer15@example.com,+57 300 1000015,other,open,,2026-01-16
INC-0016,CUST-0016,Camila Rios,customer16@example.com,+57 300 1000016,billing,discarded,,2026-01-17
INC-0017,CUST-0017,Sofia Lopez,customer17@example.com,+57 300 1000017,other,closed,1,2026-01-18
INC-0018,CUST-0018,Laura Gomez,customer18@example.com,+57 300 1000018,technical,closed,,2026-01-19
INC-0019,CUST-0019,Andres Diaz,customer19@example.com,+57 300 1000019,billing,closed,3,2026-01-20
INC-0020,CUST-0020,Maria Torres,customer20@example.com,+57 300 1000020,urgent,closed,3,2026-01-21
INC-0021,CUST-0021,Carlos Ruiz,customer21@example.com,+57 300 1000021,other,discarded,,2026-01-22
INC-0022,CUST-0022,Maria Torres,customer22@example.com,+57 300 1000022,other,discarded,,2026-01-23
INC-0023,CUST-0023,Andres Diaz,customer23@example.com,+57 300 1000023,technical,closed,5,2026-01-24
INC-0024,CUST-0024,Andres Diaz,customer24@example.com,+57 300 1000024,shipping,open,,2026-01-25
INC-0025,CUST-0025,Andres Diaz,customer25@example.com,+57 300 1000025,billing,closed,1,2026-01-26
INC-0026,CUST-0026,Andres Diaz,customer26@example.com,+57 300 1000026,other,discarded,,2026-01-27
INC-0027,CUST-0027,Juan Perez,customer27@example.com,+57 300 1000027,technical,discarded,,2026-01-28
INC-0028,CUST-0028,Diego Marin,customer28@example.com,+57 300 1000028,product,discarded,,2026-01-29
INC-0029,CUST-0029,Diego Marin,customer29@example.com,+57 300 1000029,technical,closed,5,2026-01-30
INC-0030,CUST-0030,Valentina Ortiz,customer30@example.com,+57 300 1000030,shipping,discarded,,2026-01-31
INC-0031,CUST-0031,Felipe Cano,customer31@example.com,+57 300 1000031,product,discarded,,2026-02-01
INC-0032,CUST-0032,Camila Rios,customer32@example.com,+57 300 1000032,shipping,open,,2026-02-02
INC-0033,CUST-0033,Maria Torres,customer33@example.com,+57 300 1000033,other,closed,1,2026-02-03
INC-0034,CUST-0034,Carlos Ruiz,customer34@example.com,+57 300 1000034,technical,discarded,,2026-02-04
INC-0035,CUST-0035,Maria Torres,customer35@example.com,+57 300 1000035,product,pending,,2026-02-05
INC-0036,CUST-0036,Carlos Ruiz,customer36@example.com,+57 300 1000036,product,closed,4,2026-02-06
INC-0037,CUST-0037,Valentina Ortiz,customer37@example.com,+57 300 1000037,shipping,discarded,,2026-02-07
INC-0038,CUST-0038,Laura Gomez,customer38@example.com,+57 300 1000038,billing,discarded,,2026-02-08
INC-0039,CUST-0039,Valentina Ortiz,customer39@example.com,+57 300 1000039,shipping,discarded,,2026-02-09
INC-0040,CUST-0040,Juan Perez,customer40@example.com,+57 300 1000040,billing,closed,4,2026-02-10
INC-0041,CUST-0041,Laura Gomez,customer41@example.com,+57 300 1000041,shipping,discarded,,2026-02-11
INC-0042,CUST-0042,Maria Torres,customer42@example.com,+57 300 1000042,other,open,,2026-02-12
INC-0043,CUST-0043,Sofia Lopez,customer43@example.com,+57 300 1000043,other,discarded,,2026-02-13
INC-0044,CUST-0044,Andres Diaz,customer44@example.com,+57 300 1000044,technical,closed,,2026-02-14
INC-0045,CUST-0045,Valentina Ortiz,customer45@example.com,+57 300 1000045,other,open,,2026-02-15
INC-0046,CUST-0046,Felipe Cano,customer46@example.com,+57 300 1000046,shipping,closed,3,2026-02-16
INC-0047,CUST-0047,Sofia Lopez,customer47@example.com,+57 300 1000047,technical,open,,2026-02-17
INC-0048,CUST-0048,Andres Diaz,customer48@example.com,+57 300 1000048,other,open,,2026-02-18
INC-0049,CUST-0049,Carlos Ruiz,customer49@example.com,+57 300 1000049,product,open,,2026-02-19
INC-0050,CUST-0050,,customer50@example.com,+57 300 1000050,technical,open,,2026-02-20
INC-0051,CUST-0051,Diego Marin,customer51@example.com,+57 300 1000051,other,open,,2026-02-21
INC-0052,CUST-0052,Sofia Lopez,customer52@example.com,+57 300 1000052,other,discarded,,2026-02-22
INC-0053,CUST-0053,Camila Rios,customer53@example.com,+57 300 1000053,technical,discarded,,2026-02-23
INC-0054,CUST-0054,Andres Diaz,customer54@example.com,+57 300 1000054,shipping,closed,,2026-02-24
INC-0055,CUST-0055,Juan Perez,customer55@example.com,+57 300 1000055,product,discarded,,2026-02-25
INC-0056,CUST-0056,Diego Marin,customer56@example.com,+57 300 1000056,billing,open,,2026-02-26
INC-0057,CUST-0057,Andres Diaz,customer57@example.com,+57 300 1000057,billing,closed,5,2026-02-27
INC-0058,CUST-0058,Andres Diaz,customer58@example.com,+57 300 1000058,other,open,,2026-02-28
INC-0059,CUST-0059,Laura Gomez,customer59@example.com,+57 300 1000059,billing,discarded,,2026-03-01
INC-0060,CUST-0060,Laura Gomez,customer60@example.com,+57 300 1000060,technical,open,,2026-03-02
INC-0061,CUST-0061,Laura Gomez,customer61@example.com,+57 300 1000061,shipping,open,,2026-03-03
INC-0062,CUST-0062,Valentina Ortiz,customer62@example.com,+57 300 1000062,technical,closed,2,2026-03-04
INC-0063,CUST-0063,Valentina Ortiz,customer63@example.com,+57 300 1000063,technical,discarded,,2026-03-05
INC-0064,CUST-0064,Felipe Cano,customer64@example.com,+57 300 1000064,other,closed,4,2026-03-06
,CUST-0065,Camila Rios,customer65@example.com,+57 300 1000065,technical,open,,2026-03-07
INC-0066,CUST-0066,Carlos Ruiz,customer66@example.com,+57 300 1000066,product,closed,4,2026-03-08
INC-0067,CUST-0067,Laura Gomez,customer67@example.com,+57 300 1000067,billing,open,,2026-03-09
INC-0068,CUST-0068,Camila Rios,customer68@example.com,+57 300 1000068,shipping,open,,2026-03-10
INC-0069,CUST-0069,Andres Diaz,customer69@example.com,+57 300 1000069,technical,open,,2026-03-11
INC-0070,CUST-0070,Valentina Ortiz,customer70@example.com,+57 300 1000070,product,open,,2026-03-12
INC-0071,CUST-0071,Camila Rios,customer71@example.com,+57 300 1000071,technical,closed,1,2026-03-13
INC-0072,CUST-0072,Diego Marin,customer72@example.com,+57 300 1000072,other,open,,2026-03-14
INC-0073,CUST-0073,Laura Gomez,customer73@example.com,+57 300 1000073,other,open,,2026-03-15
INC-0074,CUST-0074,Carlos Ruiz,customer74@example.com,+57 300 1000074,technical,open,,2026-03-16
INC-0075,CUST-0075,Camila Rios,customer75@example.com,+57 300 1000075,product,closed,4,2026-03-17
INC-0076,CUST-0076,Laura Gomez,customer76@example.com,+57 300 1000076,technical,closed,4,2026-03-18
INC-0077,CUST-0077,Sofia Lopez,customer77@example.com,+57 300 1000077,product,closed,5,2026-03-19
INC-0078,CUST-0078,Diego Marin,customer78@example.com,+57 300 1000078,technical,open,,2026-03-20
INC-0079,CUST-0079,Sofia Lopez,customer79@example.com,+57 300 1000079,technical,open,,2026-03-21
INC-0080,CUST-0080,Felipe Cano,customer80@example.com,+57 300 1000080,misc,open,,2026-03-22
INC-0081,CUST-0081,Juan Perez,customer81@example.com,+57 300 1000081,billing,open,,2026-03-23
INC-0082,CUST-0082,Felipe Cano,customer82@example.com,+57 300 1000082,product,discarded,,2026-03-24
INC-0083,CUST-0083,Valentina Ortiz,customer83@example.com,+57 300 1000083,technical,open,,2026-03-25
INC-0084,CUST-0084,Valentina Ortiz,customer84@example.com,+57 300 1000084,billing,open,,2026-03-26
INC-0085,CUST-0085,Carlos Ruiz,customer85@example.com,+57 300 1000085,other,open,,2026-03-27
INC-0086,CUST-0086,Andres Diaz,customer86@example.com,+57 300 1000086,product,open,,2026-03-28
INC-0087,CUST-0087,Felipe Cano,customer87@example.com,+57 300 1000087,technical,discarded,,2026-03-29
INC-0088,CUST-0088,Felipe Cano,customer88@example.com,+57 300 1000088,billing,discarded,,2026-03-30
INC-0089,CUST-0089,Carlos Ruiz,customer89@example.com,+57 300 1000089,product,discarded,,2026-03-31
INC-0090,CUST-0090,Felipe Cano,customer90@example.com,+57 300 1000090,other,discarded,,2026-04-01
INC-0091,CUST-0091,Juan Perez,customer91@example.com,+57 300 1000091,shipping,open,,2026-04-02
INC-0092,CUST-0092,Juan Perez,customer92@example.com,+57 300 1000092,technical,closed,3,2026-04-03
INC-0093,CUST-0093,Diego Marin,customer93@example.com,+57 300 1000093,shipping,open,,2026-04-04
INC-0094,CUST-0094,Laura Gomez,customer94@example.com,+57 300 1000094,product,discarded,,2026-04-05
INC-0095,CUST-0095,Felipe Cano,customer95@example.com,+57 300 1000095,billing,open,,2026-04-06
INC-0096,CUST-0096,Valentina Ortiz,customer96@example.com,+57 300 1000096,technical,discarded,,2026-04-07
INC-0097,CUST-0097,Sofia Lopez,customer97@example.com,+57 300 1000097,technical,closed,,2026-04-08
INC-0098,CUST-0098,Andres Diaz,customer98@example.com,+57 300 1000098,shipping,closed,5,2026-04-09
INC-0099,CUST-0099,Sofia Lopez,customer99@example.com,+57 300 1000099,other,discarded,,2026-04-10
INC-0100,CUST-0100,Valentina Ortiz,customer100@example.com,+57 300 1000100,billing,discarded,,2026-04-11
